TABLE 4.2 - SURVIVAL OF NEWLY BORN ENTERPRISES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BROAD INDUSTRY GROUP by BIRTHS AND THEIR SURVIVAL for 2012 to 2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Births,1-year survival,1-year      per cent,2-year survival,2-year      per cent,3-year survival,3-year      per cent,4-year survival,4-year      per cent,5-year survival,5-year      per cent,,,,
,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Production,"18,390","16,465",89.5,:,:,:,:,:,:,:,:,,,,
Construction,"51,615","47,325",91.7,:,:,:,:,:,:,:,:,,,,
Motor trades,"8,550","8,050",94.2,:,:,:,:,:,:,:,:,,,,
Wholesale,"9,825","8,910",90.7,:,:,:,:,:,:,:,:,,,,
Retail,"27,125","25,450",93.8,:,:,:,:,:,:,:,:,,,,
Transport and storage (inc. postal),"27,400","26,105",95.3,:,:,:,:,:,:,:,:,,,,
Accommodation and food services,"25,875","24,295",93.9,:,:,:,:,:,:,:,:,,,,
Information and communication,"33,625","31,680",94.2,:,:,:,:,:,:,:,:,,,,
Finance and insurance (Excl 6420),"5,695","4,260",74.8,:,:,:,:,:,:,:,:,,,,
Property,"12,685","9,800",77.3,:,:,:,:,:,:,:,:,,,,
"Professional, scientific and technical","86,265","79,550",92.2,:,:,:,:,:,:,:,:,,,,
Business administration and support services,"64,075","56,665",88.4,:,:,:,:,:,:,:,:,,,,
Education,"9,475","9,095",96.0,:,:,:,:,:,:,:,:,,,,
Health,"16,500","15,590",94.5,:,:,:,:,:,:,:,:,,,,
"Arts, entertainment, recreation and other services","16,800","15,650",93.2,:,:,:,:,:,:,:,:,,,,
,,,,,,,,,,,,,,,
Total,"413,900","378,890",91.5,:,:,:,:,:,:,:,:,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
:  Data not available,,,,,,,,,,,,,,,
Figures for each survival period are rounded independently using controlled rounding.  This can result in figures appearing to increase from one period to the next. This increase is the result of rounding.,,,,,,,,,,,,,,,
Totals across tables may differ by minor amounts due to the disclosure control methods used.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Back to Contents Page,,,,,,,,,,,,,,,
